#Klasse;Gültigkeit in Jahren (1 oder 1.5 oder 2 oder 2.5 oder ..)
B1A;1
B1B;1
BFK1;2
BFK2;1
BMA2A;2
BMA2B;2
BMA3A;1
BMA3B;1
BVBM;1
BVFM;1
BVHM;1
BVKF;1
BVMH;1
BVMR;1
E1A;1
E1B;1
E1C;1
EBT1;3.5
EBT2;2.5
EBT3;1.5
EBT4;0.5
EEG1;3.5
EEG2;2.5
EEG3;1.5
EEG4;0.5
EGS1;3.5
EGS2;2.5
EGS3;1.5
EGS4;0.5
EIF1;1
EIT1A;1
EIT1B;1
ELE1;3.5
ELE2;2.5
ELE3;1.5
ELE4;0.5
F1;1
F1A;1
FF1;1
FFK1A;3
FFK2;2
FFK3A;1
FG1A;1
FG1B;1
FG1C;1
FG1D;1
FGD2;2
FGD3;1
FGI2;2
FGI3;1
FGM2;2
FGM3;1
FMG1;3
FMG2;2
FMG3;1
FOG1A;1
FOG1B;1
FOG2A;1
FOG2B;1
FOI1;1
FOI2;1
FOP1A;1
FOP1B;1
FOP2A;1
FOP2B;1
FOT1;1
FOT2A;1
FOT2B;1
FRA1;3
FRA2;2
FRA3;1
H1A;1
H1B;1
HTI1;3
HTI2;2
K1A;1
K1B;1
KFR1;3
KFR2;2
KFR3;1
lehrer;
MAS2;2.5
MAS3;1.5
MAS4;0.5
MFT1A;1
MFT1B;1
MFW1;3.5
MFW2;2.5
MFW3;1.5
MFW4;0.5
MIM1;1
MM11;1
MMB1A;1
MMB1B;1
MMB2A;2.5
MMB2B;2.5
MMB3A;1.5
MMB3B;1.5
MVT1A;1
MWE1;3
MWE2;2
MWE3;1
R1A;1
R1B;1
RLM2;2.5
RMP1;3.5
RMP2B;2.5
RNL1;1
TGA1;3
TGA2;2
TGA3;1
TS1;2
TS2;1
UTA1;2
UTA2;1
WIT1A;3
WIT1B;3
WIT1C;3
WIT1D;3
WIT2A;2
WIT2B;2
WIT2C;2
WIT2D;2
WIT3A;1
WIT3B;1
WIT3C;1
WIT3D;1
TEST;
BRMXA;1
BRMXB;1
XXX;
Test;
BESTKF;1
BESTFM;1
RMP2A;2.5
BESTBM;1
BESTHM;1
BRMXC;1
BESTRM;1
FG3;1
